tau_m,root_1,root_2,root_3
0.1,0.09632530159186575,0.14915269552292768,1.732050807568877
0.2,1.7320508075688772,,
0.3,0.15222439789812067,1.7320508075688772,
0.4,0.201734801525652,1.732050807568877,
0.5,0.24789499489020803,1.7320508075688767,
0.6,0.29412570570800145,1.7320508075688772,
0.7,0.3410176948939715,1.7320508075689574,
0.7999999999999999,0.3882210310124136,1.7320508077257177,
0.8999999999999999,0.43555213940005466,1.7320507000381462,
0.9999999999999999,0.48291580780484267,1.7320138202684678,
1.0999999999999999,0.5302709044431246,1.7318203381165658,
1.2,0.5779180572069849,1.7313466562538116,
1.3,0.62566178484358,1.730395653983945,
1.4,0.6733250106179179,1.728731555415844,
1.5,0.7209393077823539,1.7260919939656065,
1.5999999999999999,0.7684395808737371,1.7222002602997892,
1.7,0.8157919653300234,1.7167710741235318,
1.8,0.8629847057021104,1.7095830011423758,
1.9,0.9100161004411361,1.7003686077357796,
2.0,0.9568924485557128,1.6888589855278875,
2.0999999999999996,1.0036174050409943,1.67489607702531,
2.1999999999999997,1.0502046966715428,1.6581838612567728,
2.3,1.0966466186673653,1.6385281557602545,
2.4,1.1428957847274288,1.6157110265484438,
2.5,1.1889251659081534,1.589431575108739,
2.6,1.2347526920679852,1.5594001574051986,
2.6999999999999997,1.2804019090187468,1.5255279103559372,
2.8,1.3258820704547167,1.4869444824917228,
2.9,1.371190426795863,1.4436888289002823,
3.0,1.3955396167757057,1.4163211120808379,
3.0999999999999996,1.3404430922710129,1.4612682455658659,
3.1999999999999997,1.2791001068252696,1.5060281749257376,
3.3,1.210660605750973,1.5505971161157672,
3.4,1.1308769392718683,1.5949697755143948,
3.5,1.0410131773158524,1.6391407981794048,
3.5999999999999996,0.936533911434617,1.6831049504925994,
3.6999999999999997,0.8101475455123484,1.7268574847276055,
3.8,0.6430759206729035,1.770394786797291,
3.9,0.4134904576366366,1.8137129396216294,
3.9999999999999996,1.8568079798275559,,
4.1,1.8996759321981977,,
4.199999999999999,1.9423126198021996,,
4.299999999999999,1.9847134335665315,,
4.3999999999999995,2.026873726346279,,
4.499999999999999,2.0687914169008756,,
4.6,2.1104676327582417,,
4.699999999999999,2.151904134008354,,
4.799999999999999,2.193103172533438,,
4.8999999999999995,2.2340674619343304,,
4.999999999999999,2.274800144526652,,
5.1,2.3153047770018245,,
5.199999999999999,2.3555801057043633,,
5.299999999999999,2.3956088858870346,,
5.3999999999999995,2.4353694464246733,,
5.499999999999999,2.474837690473412,,
5.599999999999999,2.5139862546411105,,
5.699999999999999,2.552783510066339,,
5.799999999999999,2.5911922747342007,,
5.8999999999999995,2.629169316784305,,
5.999999999999999,2.6666853825222883,,
6.099999999999999,2.7037260821060958,,
6.199999999999999,2.7402784620519296,,
6.299999999999999,2.7763310687678646,,
6.3999999999999995,2.8118744431591676,,
6.499999999999999,2.8469045983849606,,
6.599999999999999,2.881430689195765,,
6.699999999999999,2.915471850393983,,
6.799999999999999,2.9490549080857646,,
6.8999999999999995,2.9822137071462542,,
6.999999999999999,3.0149876795646975,,
7.099999999999999,3.0474104961243187,,
7.199999999999999,3.079506121071329,,
7.299999999999999,3.111271666785844,,
7.3999999999999995,3.142694854515572,,
7.499999999999999,3.173762342434435,,
7.599999999999999,3.204458057904606,,
7.699999999999999,3.2347639278702025,,
7.799999999999999,3.2646647838487435,,
7.899999999999999,3.294153614867687,,
7.999999999999999,3.323224892268457,,
8.1,3.351874698445164,,
8.2,3.380106948581523,,
8.299999999999999,3.4079369311987593,,
8.399999999999999,3.435382848080365,,
8.499999999999998,3.462451196570296,,
8.6,3.4891423494920493,,
8.7,3.51545396377557,,
8.799999999999999,3.541380276516661,,
8.899999999999999,3.566878200064292,,
8.999999999999998,3.591863743099188,,
9.1,3.6162457309058427,,
9.2,3.639944637060974,,
9.299999999999999,3.662868091312007,,
9.399999999999999,3.6849550294481097,,
9.499999999999998,3.706484485775976,,
9.6,3.727909218793598,,
9.7,3.749621108450494,,
9.799999999999999,3.771879399644045,,
9.899999999999999,3.794799835607724,,
9.999999999999998,3.818216448803863,,
10.1,3.841873568717232,,
10.2,3.8655810162948643,,
10.299999999999999,3.8891888306449465,,
10.399999999999999,3.912563552957901,,
10.499999999999998,3.9356052639367642,,
10.6,3.9582783480446233,,
10.7,3.980659528010848,,
10.799999999999999,4.002850356151436,,
10.899999999999999,4.0249428726222805,,
10.999999999999998,4.047006123118187,,
11.099999999999998,4.068952726683147,,
11.2,4.0905861333987845,,
11.299999999999999,4.111662285505012,,
11.399999999999999,4.1318565021985885,,
11.499999999999998,4.150705089163455,,
11.599999999999998,4.167539657710832,,
11.7,4.182022523136218,,
11.799999999999999,4.19436086979664,,
11.899999999999999,4.205385219762216,,
11.999999999999998,4.216309844518519,,
12.099999999999998,4.22761685757485,,
12.2,4.239061877378495,,
12.299999999999999,4.25031822816021,,
12.399999999999999,4.261071902326142,,
