timestamps,magnifications
-250.0,299.5750421919033
-249.99,299.5750046179885
-249.98000000000002,299.5749670390977
-249.97000000000003,299.5749294552298
-249.96000000000004,299.5748918663841
-249.95000000000005,299.57485427255955
-249.94000000000005,299.5748166737556
-249.93000000000006,299.57477906997116
-249.92000000000007,299.5747414612051
-249.91000000000008,299.5747038474568
-249.9000000000001,299.57466622872545
-249.8900000000001,299.5746286050108
-249.8800000000001,299.57459097631045
-249.87000000000012,299.5745533426244
-249.86000000000013,299.5745157039517
-249.85000000000014,299.5744780602919
-249.84000000000015,299.5744404116433
-249.83000000000015,299.57440275800576
-249.82000000000016,299.57436509937776
-249.81000000000017,299.57432743575885
-249.80000000000018,299.5742897671482
-249.7900000000002,299.57425209354443
-249.7800000000002,299.5742144149471
-249.7700000000002,299.5741767313552
-249.76000000000022,299.5741390427681
-249.75000000000023,299.5741013491844
-249.74000000000024,299.5740636506036
-249.73000000000025,299.57402594702484
-249.72000000000025,299.5739882384469
-249.71000000000026,299.57395052486913
-249.70000000000027,299.57391280629065
-249.69000000000028,299.5738750827104
-249.6800000000003,299.5738373541278
-249.6700000000003,299.57379962054193
-249.6600000000003,299.5737618819517
-249.65000000000032,299.57372413835634
-249.64000000000033,299.5736863897549
-249.63000000000034,299.57364863614663
-249.62000000000035,299.5736108775303
-249.61000000000035,299.5735731139056
-249.60000000000036,299.5735353452712
-249.59000000000037,299.5734975716262
-249.58000000000038,299.5734597929701
-249.5700000000004,299.573422009302
-249.5600000000004,299.57338422062014
-249.5500000000004,299.5733464269243
-249.54000000000042,299.5733086282141
-249.53000000000043,299.57327082448785
-249.52000000000044,299.57323301574525
-249.51000000000045,299.5731952019846
-249.50000000000045,299.5731573832059
-249.49000000000046,299.5731195594078
-249.48000000000047,299.5730817305894
-249.47000000000048,299.5730438967501
-249.4600000000005,299.5730060578886
-249.4500000000005,299.57296821400445
-249.4400000000005,299.5729303650962
-249.43000000000052,299.5728925111637
-249.42000000000053,299.57285465220536
-249.41000000000054,299.5728167882209
-249.40000000000055,299.572778919209
-249.39000000000055,299.5727410451689
-249.38000000000056,299.5727031660995
-249.37000000000057,299.57266528200057
-249.36000000000058,299.5726273928703
-249.3500000000006,299.5725894987088
-249.3400000000006,299.5725515995144
-249.3300000000006,299.57251369528643
-249.32000000000062,299.5724757860241
-249.31000000000063,299.5724378717265
-249.30000000000064,299.5723999523926
-249.29000000000065,299.5723620280214
-249.28000000000065,299.5723240986127
-249.27000000000066,299.5722861641649
-249.26000000000067,299.5722482246774
-249.25000000000068,299.57221028014925
-249.2400000000007,299.5721723305792
-249.2300000000007,299.572134375967
-249.2200000000007,299.5720964163117
-249.21000000000072,299.57205845161167
-249.20000000000073,299.57202048186696
-249.19000000000074,299.57198250707614
-249.18000000000075,299.5719445272383
-249.17000000000075,299.5719065423527
-249.16000000000076,299.57186855241844
-249.15000000000077,299.57183055743457
-249.14000000000078,299.5717925574003
-249.1300000000008,299.5717545523146
-249.1200000000008,299.5717165421766
-249.1100000000008,299.5716785269854
-249.10000000000082,299.5716405067403
-249.09000000000083,299.5716024814403
-249.08000000000084,299.57156445108416
-249.07000000000085,299.57152641567166
-249.06000000000085,299.5714883752015
-249.05000000000086,299.57145032967253
-249.04000000000087,299.5714122790842
-249.03000000000088,299.57137422343555
-249.0200000000009,299.5713361627259
-249.0100000000009,299.5712980969541
-249.0000000000009,299.57126002611915
-248.99000000000092,299.5712219502203
-248.98000000000093,299.5711838692567
-248.97000000000094,299.57114578322745
-248.96000000000095,299.57110769213153
-248.95000000000095,299.57106959596814
-248.94000000000096,299.5710314947365
-248.93000000000097,299.5709933884355
-248.92000000000098,299.5709552770643
-248.910000000001,299.5709171606218
-248.900000000001,299.57087903910735
-248.890000000001,299.57084091252034
-248.88000000000102,299.5708027808595
