timestamp,u1,u2,image_coords,n_images,magnifications,total_magnification
-50.0,-1.0,-0.28867513459481287,"[(0.7777397103580874, np.float64(0.22784671862120368)), (32.109435881495024, np.float64(-1.6646371272951572))]",2,"[np.float64(0.3115450691524903), np.float64(274.6881434067565)]",274.999688475909
-49.99,-0.9998,-0.2885596645409749,"[(0.7778501887268433, np.float64(0.22778729512001356)), (32.098894095377204, np.float64(-1.6646493877226434))]",2,"[np.float64(0.31170635235572125), np.float64(274.6730738552376)]",274.9847802075933
-49.980000000000004,-0.9996,-0.2884441944871371,"[(0.7779606905749494, np.float64(0.2277278530187381)), (32.08835291730588, np.float64(-1.664661654532018))]",2,"[np.float64(0.31186772602107105), np.float64(274.65799214891376)]",274.96985987493485
-49.970000000000006,-0.9994000000000001,-0.28832872443329916,"[(0.7780712159068388, np.float64(0.22766839231069827)), (32.07781234777109, np.float64(-1.6646739277275402))]",2,"[np.float64(0.3120291901993915), np.float64(274.64289827626413)]",274.9549274664635
-49.96000000000001,-0.9992000000000002,-0.2882132543794613,"[(0.7781817647269438, np.float64(0.22760891298921324)), (32.06727238726607, np.float64(-1.6646862073134727))]",2,"[np.float64(0.31219074494156007), np.float64(274.6277922257607)]",274.93998297070226
-49.95000000000001,-0.9990000000000002,-0.2880977843256234,"[(0.7782923370396967, np.float64(0.2275494150475997)), (32.05673303628145, np.float64(-1.66469849329408))]",2,"[np.float64(0.31235239029848066), np.float64(274.61267398585954)]",274.92502637615803
-49.94000000000001,-0.9988000000000002,-0.28798231427178544,"[(0.7784029328495287, np.float64(0.22748989847917234)), (32.04619429530937, np.float64(-1.66471078567363))]",2,"[np.float64(0.31251412632108205), np.float64(274.59754354500694)]",274.91005767132805
-49.930000000000014,-0.9986000000000003,-0.2878668442179475,"[(0.7785135521608715, np.float64(0.22743036327724372)), (32.035656164842436, np.float64(-1.6647230844563934))]",2,"[np.float64(0.31267595306032037), np.float64(274.58240089163803)]",274.89507684469834
-49.920000000000016,-0.9984000000000003,-0.2877513741641097,"[(0.7786241949781555, np.float64(0.22737080943512414)), (32.02511864537374, np.float64(-1.6647353896466432))]",2,"[np.float64(0.31283787056717655), np.float64(274.5672460141763)]",274.8800838847435
-49.91000000000002,-0.9982000000000003,-0.28763590411027173,"[(0.7787348613058114, np.float64(0.22731123694612146)), (32.01458173739682, np.float64(-1.6647477012486565))]",2,"[np.float64(0.3129998788926585), np.float64(274.5520789010341)]",274.86507877992676
-49.90000000000002,-0.9980000000000004,-0.2875204340564339,"[(0.7788455511482693, np.float64(0.2272516458035418)), (32.00404544140569, np.float64(-1.6647600192667122))]",2,"[np.float64(0.3131619780877996), np.float64(274.53689954061235)]",274.85006151870016
