timestamps,magnifications
-248.93000000000097,1.4678419032439688e-10
-248.92000000000098,1.4680779078021654e-10
-248.910000000001,1.4683139597942042e-10
-248.900000000001,1.4685500592315207e-10
-248.890000000001,1.4687862061255624e-10
-248.88000000000102,1.4690224004877786e-10
-248.87000000000103,1.4692586423296158e-10
-248.86000000000104,1.4694949316625284e-10
-248.85000000000105,1.4697312684979758e-10
-248.84000000000106,1.469967652847415e-10
-248.83000000000106,1.4702040847223103e-10
-248.82000000000107,1.4704405641341278e-10
-248.81000000000108,1.4706770910943396e-10
-248.8000000000011,1.4709136656144153e-10
-248.7900000000011,1.471150287705834e-10
-248.7800000000011,1.4713869573800744e-10
-248.77000000000112,1.4716236746486182e-10
-248.76000000000113,1.4718604395229505e-10
-248.75000000000114,1.4720972520145626e-10
-248.74000000000115,1.472334112134947e-10
-248.73000000000116,1.4725710198955967e-10
-248.72000000000116,1.4728079753080128e-10
-248.71000000000117,1.473044978383697e-10
-248.70000000000118,1.4732820291341544e-10
-248.6900000000012,1.4735191275708942e-10
-248.6800000000012,1.4737562737054267e-10
-248.6700000000012,1.4739934675492677e-10
-248.66000000000122,1.4742307091139367e-10
-248.65000000000123,1.4744679984109512e-10
-248.64000000000124,1.474705335451843e-10
-248.63000000000125,1.4749427202481336e-10
-248.62000000000126,1.4751801528113573e-10
-248.61000000000126,1.4754176331530481e-10
-248.60000000000127,1.4756551612847437e-10
-248.59000000000128,1.4758927372179854e-10
-248.5800000000013,1.4761303609643177e-10
-248.5700000000013,1.4763680325352886e-10
-248.5600000000013,1.476605751942446e-10
-248.55000000000132,1.4768435191973448e-10
-248.54000000000133,1.4770813343115476e-10
-248.53000000000134,1.477319197296608e-10
-248.52000000000135,1.4775571081640928e-10
-248.51000000000136,1.4777950669255696e-10
-248.50000000000136,1.478033073592608e-10
-248.49000000000137,1.4782711281767805e-10
-248.48000000000138,1.4785092306896663e-10
-248.4700000000014,1.478747381142843e-10
-248.4600000000014,1.4789855795478983e-10
-248.4500000000014,1.4792238259164125e-10
-248.44000000000142,1.4794621202599793e-10
-248.43000000000143,1.4797004625901914e-10
-248.42000000000144,1.4799388529186464e-10
-248.41000000000145,1.4801772912569425e-10
-248.40000000000146,1.4804157776166839e-10
-248.39000000000146,1.4806543120094747e-10
-248.38000000000147,1.480892894446926e-10
-248.37000000000148,1.4811315249406508e-10
-248.3600000000015,1.4813702035022644e-10
-248.3500000000015,1.4816089301433869e-10
-248.3400000000015,1.48184770487564e-10
-248.33000000000152,1.4820865277106496e-10
-248.32000000000153,1.482325398660046e-10
-248.31000000000154,1.4825643177354635e-10
-248.30000000000155,1.4828032849485321e-10
-248.29000000000156,1.4830423003108968e-10
-248.28000000000156,1.483281363834196e-10
-248.27000000000157,1.4835204755300773e-10
-248.26000000000158,1.483759635410188e-10
-248.2500000000016,1.4839988434861817e-10
-248.2400000000016,1.4842380997697145e-10
-248.2300000000016,1.4844774042724424e-10
-248.22000000000162,1.4847167570060292e-10
-248.21000000000163,1.4849561579821416e-10
-248.20000000000164,1.4851956072124447e-10
-248.19000000000165,1.4854351047086148e-10
-248.18000000000166,1.4856746504823235e-10
-248.17000000000166,1.4859142445452504e-10
-248.16000000000167,1.486153886909078e-10
-248.15000000000168,1.4863935775854918e-10
-248.1400000000017,1.486633316586178e-10
-248.1300000000017,1.4868731039228295e-10
-248.1200000000017,1.487112939607143e-10
-248.11000000000172,1.4873528236508133e-10
-248.10000000000173,1.487592756065544e-10
-248.09000000000174,1.4878327368630418e-10
-248.08000000000175,1.4880727660550125e-10
-248.07000000000176,1.4883128436531655e-10
-248.06000000000176,1.4885529696692212e-10
-248.05000000000177,1.4887931441148928e-10
-248.04000000000178,1.4890333670019049e-10
-248.0300000000018,1.4892736383419808e-10
-248.0200000000018,1.4895139581468501e-10
-248.0100000000018,1.4897543264282422e-10
-248.00000000000182,1.4899947431978903e-10
-247.99000000000183,1.4902352084675378e-10
-247.98000000000184,1.49047572224892e-10
-247.97000000000185,1.4907162845537864e-10
-247.96000000000186,1.4909568953938826e-10
-247.95000000000186,1.4911975547809601e-10
-247.94000000000187,1.4914382627267728e-10
-247.93000000000188,1.4916790192430794e-10
-247.9200000000019,1.491919824341641e-10
-247.9100000000019,1.4921606780342232e-10
-247.9000000000019,1.492401580332593e-10
-247.89000000000192,1.4926425312485196e-10
-247.88000000000193,1.4928835307937804e-10
-247.87000000000194,1.4931245789801528e-10
-247.86000000000195,1.4933656758194184e-10
-247.85000000000196,1.4936068213233588e-10
-247.84000000000196,1.4938480155037644e-10
-247.83000000000197,1.4940892583724267e-10
-247.82000000000198,1.4943305499411382e-10
-247.810000000002,1.4945718902216975e-10
-247.800000000002,1.4948132792259076e-10
-247.790000000002,1.4950547169655702e-10
-247.78000000000202,1.495296203452496e-10
-247.77000000000203,1.495537738698494e-10
-247.76000000000204,1.4957793227153784e-10
-247.75000000000205,1.4960209555149683e-10
-247.74000000000206,1.496262637109084e-10
-247.73000000000206,1.4965043675095536e-10
-247.72000000000207,1.4967461467281997e-10
-247.71000000000208,1.496987974776856e-10
-247.7000000000021,1.4972298516673587e-10
-247.6900000000021,1.4974717774115405e-10
-247.6800000000021,1.4977137520212485e-10
-247.67000000000212,1.4979557755083259e-10
-247.66000000000213,1.4981978478846185e-10
-247.65000000000214,1.498439969161979e-10
-247.64000000000215,1.498682139352262e-10
-247.63000000000216,1.498924358467325e-10
-247.62000000000216,1.4991666265190296e-10
-247.61000000000217,1.4994089435192416e-10
-247.60000000000218,1.4996513094798279e-10
-247.5900000000022,1.4998937244126605e-10
-247.5800000000022,1.500136188329614e-10
-247.5700000000022,1.5003787012425675e-10
-247.56000000000222,1.5006212631633997e-10
-247.55000000000223,1.5008638741040004e-10
-247.54000000000224,1.501106534076252e-10
-247.53000000000225,1.5013492430920492e-10
-247.52000000000226,1.5015920011632882e-10
-247.51000000000226,1.5018348083018647e-10
-247.50000000000227,1.502077664519682e-10
-247.49000000000228,1.5023205698286438e-10
-247.4800000000023,1.5025635242406616e-10
-247.4700000000023,1.5028065277676435e-10
-247.4600000000023,1.5030495804215071e-10
-247.45000000000232,1.5032926822141715e-10
-247.44000000000233,1.5035358331575548e-10
-247.43000000000234,1.503779033263586e-10
-247.42000000000235,1.5040222825441934e-10
-247.41000000000236,1.504265581011306e-10
-247.40000000000236,1.504508928676864e-10
-247.39000000000237,1.504752325552802e-10
-247.38000000000238,1.5049957716510655e-10
-247.3700000000024,1.5052392669835981e-10
-247.3600000000024,1.5054828115623477e-10
-247.3500000000024,1.5057264053992713e-10
-247.34000000000242,1.5059700485063178e-10
-247.33000000000243,1.5062137408954535e-10
-247.32000000000244,1.5064574825786365e-10
-247.31000000000245,1.5067012735678317e-10
-247.30000000000246,1.5069451138750129e-10
-247.29000000000246,1.5071890035121477e-10
-247.28000000000247,1.5074329424912148e-10
-247.27000000000248,1.5076769308241967e-10
-247.2600000000025,1.50792096852307e-10
-247.2500000000025,1.5081650555998248e-10
-247.2400000000025,1.5084091920664508e-10
-247.23000000000252,1.508653377934939e-10
-247.22000000000253,1.508897613217287e-10
-247.21000000000254,1.5091418979254951e-10
-247.20000000000255,1.509386232071567e-10
-247.19000000000256,1.5096306156675067e-10
-247.18000000000256,1.5098750487253262e-10
-247.17000000000257,1.5101195312570386e-10
-247.16000000000258,1.5103640632746618e-10
-247.1500000000026,1.5106086447902146e-10
-247.1400000000026,1.5108532758157194e-10
-247.1300000000026,1.5110979563632084e-10
-247.12000000000262,1.5113426864447064e-10
-247.11000000000263,1.5115874660722503e-10
-247.10000000000264,1.511832295257876e-10
-247.09000000000265,1.5120771740136252e-10
-247.08000000000266,1.512322102351543e-10
-247.07000000000266,1.5125670802836735e-10
-247.06000000000267,1.5128121078220704e-10
-247.05000000000268,1.5130571849787873e-10
-247.0400000000027,1.513302311765881e-10
-247.0300000000027,1.5135474881954157e-10
-247.0200000000027,1.513792714279454e-10
-247.01000000000272,1.514037990030062e-10
-247.00000000000273,1.514283315459315e-10
-246.99000000000274,1.514528690579286e-10
-246.98000000000275,1.5147741154020523e-10
-246.97000000000276,1.515019589939697e-10
-246.96000000000276,1.5152651142043057e-10
-246.95000000000277,1.515510688207965e-10
-246.94000000000278,1.5157563119627698e-10
-246.9300000000028,1.516001985480812e-10
-246.9200000000028,1.5162477087741931e-10
-246.9100000000028,1.5164934818550164e-10
-246.90000000000282,1.5167393047353842e-10
-246.89000000000283,1.516985177427408e-10
-246.88000000000284,1.5172310999431987e-10
-246.87000000000285,1.517477072294875e-10
-246.86000000000286,1.5177230944945538e-10
-246.85000000000286,1.517969166554359e-10
-246.84000000000287,1.5182152884864182e-10
-246.83000000000288,1.5184614603028604e-10
-246.8200000000029,1.5187076820158176e-10
-246.8100000000029,1.5189539536374262e-10
-246.8000000000029,1.5192002751798298e-10
-246.79000000000292,1.5194466466551672e-10
-246.78000000000293,1.5196930680755905e-10
-246.77000000000294,1.519939539453245e-10
-246.76000000000295,1.5201860608002894e-10
-246.75000000000296,1.5204326321288775e-10
-246.74000000000296,1.520679253451172e-10
-246.73000000000297,1.5209259247793372e-10
-246.72000000000298,1.5211726461255409e-10
-246.710000000003,1.5214194175019523e-10
-246.700000000003,1.5216662389207466e-10
-246.690000000003,1.5219131103941043e-10
-246.68000000000302,1.5221600319342054e-10
-246.67000000000303,1.5224070035532344e-10
-246.66000000000304,1.5226540252633815e-10
-246.65000000000305,1.522901097076837e-10
-246.64000000000306,1.5231482190057953e-10
-246.63000000000306,1.5233953910624586e-10
-246.62000000000307,1.5236426132590252e-10
-246.61000000000308,1.5238898856077044e-10
-246.6000000000031,1.5241372081207037e-10
-246.5900000000031,1.5243845808102363e-10
-246.5800000000031,1.5246320036885185e-10
-246.57000000000312,1.5248794767677686e-10
-246.56000000000313,1.5251270000602118e-10
-246.55000000000314,1.5253745735780728e-10
-246.54000000000315,1.5256221973335833e-10
-246.53000000000316,1.5258698713389762e-10
-246.52000000000317,1.5261175956064885e-10
-246.51000000000317,1.5263653701483607e-10
-246.50000000000318,1.5266131949768377e-10
-246.4900000000032,1.5268610701041638e-10
-246.4800000000032,1.527108995542593e-10
-246.4700000000032,1.5273569713043813e-10
-246.46000000000322,1.5276049974017807e-10
-246.45000000000323,1.5278530738470587e-10
-246.44000000000324,1.5281012006524773e-10
-246.43000000000325,1.5283493778303037e-10
-246.42000000000326,1.5285976053928112e-10
-246.41000000000327,1.5288458833522761e-10
-246.40000000000327,1.5290942117209765e-10
-246.39000000000328,1.529342590511194e-10
-246.3800000000033,1.5295910197352142e-10
-246.3700000000033,1.5298394994053286e-10
-246.3600000000033,1.5300880295338275e-10
-246.35000000000332,1.530336610133009e-10
-246.34000000000333,1.5305852412151706e-10
-246.33000000000334,1.5308339227926173e-10
-246.32000000000335,1.5310826548776574e-10
-246.31000000000336,1.5313314374825975e-10
-246.30000000000337,1.531580270619754e-10
-246.29000000000337,1.5318291543014438e-10
-246.28000000000338,1.5320780885399854e-10
-246.2700000000034,1.5323270733477069e-10
-246.2600000000034,1.5325761087369342e-10
-246.2500000000034,1.5328251947199967e-10
-246.24000000000342,1.5330743313092333e-10
-246.23000000000343,1.5333235185169798e-10
-246.22000000000344,1.533572756355578e-10
-246.21000000000345,1.5338220448373747e-10
-246.20000000000346,1.534071383974716e-10
-246.19000000000347,1.534320773779957e-10
-246.18000000000347,1.5345702142654508e-10
-246.17000000000348,1.53481970544356e-10
-246.1600000000035,1.5350692473266448e-10
-246.1500000000035,1.535318839927073e-10
-246.1400000000035,1.535568483257217e-10
-246.13000000000352,1.535818177329444e-10
-246.12000000000353,1.5360679221561363e-10
-246.11000000000354,1.5363177177496728e-10
-246.10000000000355,1.5365675641224358e-10
-246.09000000000356,1.5368174612868166e-10
-246.08000000000357,1.5370674092552033e-10
-246.07000000000357,1.537317408039992e-10
-246.06000000000358,1.5375674576535798e-10
-246.0500000000036,1.537817558108368e-10
-246.0400000000036,1.5380677094167626e-10
-246.0300000000036,1.5383179115911748e-10
-246.02000000000362,1.5385681646440104e-10
-246.01000000000363,1.538818468587692e-10
-246.00000000000364,1.5390688234346357e-10
-245.99000000000365,1.539319229197264e-10
-245.98000000000366,1.5395696858880038e-10
-245.97000000000367,1.539820193519286e-10
-245.96000000000367,1.5400707521035437e-10
-245.95000000000368,1.5403213616532146e-10
-245.9400000000037,1.5405720221807364e-10
-245.9300000000037,1.5408227336985542e-10
-245.9200000000037,1.5410734962191198e-10
-245.91000000000372,1.5413243097548775e-10
-245.90000000000373,1.5415751743182888e-10
-245.89000000000374,1.5418260899218056e-10
-245.88000000000375,1.542077056577896e-10
-245.87000000000376,1.5423280742990212e-10
-245.86000000000377,1.5425791430976515e-10
-245.85000000000377,1.5428302629862576e-10
-245.84000000000378,1.543081433977318e-10
-245.8300000000038,1.5433326560833113e-10
-245.8200000000038,1.543583929316722e-10
-245.8100000000038,1.5438352536900354e-10
-245.80000000000382,1.5440866292157418e-10
-245.79000000000383,1.5443380559063342e-10
-245.78000000000384,1.5445895337743128e-10
-245.77000000000385,1.5448410628321733e-10
-245.76000000000386,1.5450926430924262e-10
-245.75000000000387,1.545344274567578e-10
-245.74000000000387,1.5455959572701378e-10
-245.73000000000388,1.5458476912126225e-10
-245.7200000000039,1.54609947640755e-10
-245.7100000000039,1.5463513128674455e-10
-245.7000000000039,1.546603200604831e-10
-245.69000000000392,1.5468551396322398e-10
-245.68000000000393,1.5471071299622006e-10
-245.67000000000394,1.547359171607254e-10
-245.66000000000395,1.5476112645799368e-10
-245.65000000000396,1.5478634088927957e-10
-245.64000000000397,1.5481156045583768e-10
-245.63000000000397,1.5483678515892298e-10
-245.62000000000398,1.548620149997913e-10
-245.610000000004,1.5488724997969806e-10
-245.600000000004,1.5491249009989962e-10
-245.590000000004,1.5493773536165254e-10
-245.58000000000402,1.549629857662133e-10
-245.57000000000403,1.5498824131483984e-10
-245.56000000000404,1.550135020087893e-10
-245.55000000000405,1.5503876784931964e-10
-245.54000000000406,1.550640388376891e-10
-245.53000000000407,1.5508931497515682e-10
-245.52000000000407,1.5511459626298128e-10
-245.51000000000408,1.5513988270242235e-10
-245.5000000000041,1.5516517429473946e-10
-245.4900000000041,1.5519047104119293e-10
-245.4800000000041,1.5521577294304302e-10
-245.47000000000412,1.5524108000155066e-10
-245.46000000000413,1.5526639221797712e-10
-245.45000000000414,1.552917095935839e-10
-245.44000000000415,1.553170321296329e-10
-245.43000000000416,1.553423598273864e-10
-245.42000000000417,1.5536769268810698e-10
-245.41000000000417,1.5539303071305778e-10
-245.40000000000418,1.5541837390350214e-10
-245.3900000000042,1.5544372226070362e-10
-245.3800000000042,1.5546907578592627e-10
-245.3700000000042,1.554944344804347e-10
-245.36000000000422,1.5551979834549354e-10
-245.35000000000423,1.5554516738236825e-10
-245.34000000000424,1.5557054159232398e-10
-245.33000000000425,1.5559592097662677e-10
-245.32000000000426,1.5562130553654303e-10
-245.31000000000427,1.5564669527333908e-10
-245.30000000000427,1.5567209018828212e-10
-245.29000000000428,1.5569749028263914e-10
-245.2800000000043,1.5572289555767817e-10
-245.2700000000043,1.5574830601466733e-10
-245.2600000000043,1.5577372165487472e-10
-245.25000000000432,1.5579914247956918e-10
-245.24000000000433,1.5582456849001987e-10
-245.23000000000434,1.558499996874965e-10
-245.22000000000435,1.5587543607326867e-10
-245.21000000000436,1.5590087764860667e-10
-245.20000000000437,1.5592632441478118e-10
-245.19000000000437,1.5595177637306317e-10
-245.18000000000438,1.559772335247237e-10
-245.1700000000044,1.5600269587103482e-10
-245.1600000000044,1.5602816341326818e-10
-245.1500000000044,1.5605363615269643e-10
-245.14000000000442,1.560791140905923e-10
-245.13000000000443,1.561045972282289e-10
-245.12000000000444,1.5613008556687987e-10
-245.11000000000445,1.5615557910781872e-10
-245.10000000000446,1.5618107785232007e-10
-245.09000000000447,1.562065818016583e-10
-245.08000000000447,1.5623209095710842e-10
-245.07000000000448,1.5625760531994552e-10
-245.0600000000045,1.562831248914455e-10
-245.0500000000045,1.563086496728845e-10
-245.0400000000045,1.5633417966553875e-10
-245.03000000000452,1.5635971487068516e-10
-245.02000000000453,1.563852552896007e-10
-245.01000000000454,1.5641080092356305e-10
-245.00000000000455,1.5643635177384992e-10
-244.99000000000456,1.5646190784173965e-10
-244.98000000000457,1.5648746912851078e-10
-244.97000000000457,1.5651303563544243e-10
-244.96000000000458,1.5653860736381364e-10
-244.9500000000046,1.5656418431490447e-10
-244.9400000000046,1.5658976648999458e-10
-244.9300000000046,1.5661535389036472e-10
-244.92000000000462,1.566409465172956e-10
-244.91000000000463,1.5666654437206838e-10
-244.90000000000464,1.5669214745596443e-10
-244.89000000000465,1.5671775577026597e-10
-244.88000000000466,1.5674336931625492e-10
-244.87000000000467,1.5676898809521418e-10
-244.86000000000467,1.5679461210842648e-10
-244.85000000000468,1.568202413571754e-10
-244.8400000000047,1.5684587584274462e-10
-244.8300000000047,1.5687151556641826e-10
-244.8200000000047,1.568971605294808e-10
-244.81000000000472,1.56922810733217e-10
-244.80000000000473,1.5694846617891187e-10
-244.79000000000474,1.569741268678514e-10
-244.78000000000475,1.5699979280132125e-10
-244.77000000000476,1.5702546398060762e-10
-244.76000000000477,1.5705114040699758e-10
-244.75000000000477,1.5707682208177777e-10
-244.74000000000478,1.571025090062357e-10
-244.7300000000048,1.5712820118165927e-10
-244.7200000000048,1.571538986093366e-10
-244.7100000000048,1.571796012905562e-10
-244.70000000000482,1.5720530922660687e-10
-244.69000000000483,1.5723102241877783e-10
-244.68000000000484,1.572567408683589e-10
-244.67000000000485,1.5728246457663988e-10
-244.66000000000486,1.5730819354491118e-10
-244.65000000000487,1.5733392777446342e-10
-244.64000000000487,1.5735966726658804e-10
-244.63000000000488,1.5738541202257593e-10
-244.6200000000049,1.5741116204371966e-10
-244.6100000000049,1.5743691733131083e-10
-244.6000000000049,1.5746267788664234e-10
-244.59000000000492,1.57488443711007e-10
-244.58000000000493,1.575142148056981e-10
-244.57000000000494,1.5753999117200968e-10
-244.56000000000495,1.5756577281123518e-10
-244.55000000000496,1.5759155972466936e-10
-244.54000000000497,1.5761735191360718e-10
-244.53000000000497,1.5764314937934354e-10
-244.52000000000498,1.5766895212317415e-10
-244.510000000005,1.576947601463948e-10
-244.500000000005,1.577205734503019e-10
-244.490000000005,1.5774639203619203e-10
-244.48000000000502,1.5777221590536214e-10
-244.47000000000503,1.5779804505910964e-10
-244.46000000000504,1.578238794987326e-10
-244.45000000000505,1.5784971922552883e-10
-244.44000000000506,1.578755642407969e-10
-244.43000000000507,1.5790141454583585e-10
-244.42000000000507,1.5792727014194456e-10
-244.41000000000508,1.5795313103042322e-10
-244.4000000000051,1.5797899721257135e-10
-244.3900000000051,1.5800486868968972e-10
-244.3800000000051,1.5803074546307864e-10
-244.37000000000512,1.5805662753403964e-10
-244.36000000000513,1.5808251490387398e-10
-244.35000000000514,1.5810840757388349e-10
-244.34000000000515,1.5813430554537062e-10
-244.33000000000516,1.5816020881963775e-10
-244.32000000000517,1.581861173979881e-10
-244.31000000000518,1.5821203128172485e-10
-244.30000000000518,1.5823795047215173e-10
-244.2900000000052,1.5826387497057318e-10
-244.2800000000052,1.5828980477829317e-10
-244.2700000000052,1.583157398966168e-10
-244.26000000000522,1.5834168032684918e-10
-244.25000000000523,1.5836762607029622e-10
-244.24000000000524,1.583935771282638e-10
-244.23000000000525,1.5841953350205786e-10
-244.22000000000526,1.5844549519298555e-10
-244.21000000000527,1.5847146220235412e-10
-244.20000000000528,1.5849743453147052e-10
-244.19000000000528,1.5852341218164299e-10
-244.1800000000053,1.5854939515417967e-10
-244.1700000000053,1.5857538345038895e-10
-244.1600000000053,1.5860137707158022e-10
-244.15000000000532,1.5862737601906252e-10
-244.14000000000533,1.586533802941456e-10
-244.13000000000534,1.5867938989813978e-10
-244.12000000000535,1.5870540483235524e-10
-244.11000000000536,1.587314250981032e-10
-244.10000000000537,1.587574506966945e-10
-244.09000000000538,1.5878348162944084e-10
-244.08000000000538,1.5880951789765456e-10
-244.0700000000054,1.5883555950264746e-10
-244.0600000000054,1.5886160644573275e-10
-244.0500000000054,1.5888765872822335e-10
-244.04000000000542,1.5891371635143267e-10
-244.03000000000543,1.5893977931667468e-10
-244.02000000000544,1.5896584762526382e-10
-244.01000000000545,1.5899192127851435e-10
-244.00000000000546,1.590180002777416e-10
-243.99000000000547,1.5904408462426063e-10
-243.98000000000548,1.5907017431938737e-10
-243.97000000000548,1.5909626936443793e-10
-243.9600000000055,1.5912236976072883e-10
-243.9500000000055,1.5914847550957685e-10
-243.9400000000055,1.5917458661229954e-10
-243.93000000000552,1.5920070307021435e-10
-243.92000000000553,1.5922682488463924e-10
-243.91000000000554,1.5925295205689272e-10
-243.90000000000555,1.5927908458829352e-10
-243.89000000000556,1.593052224801608e-10
-243.88000000000557,1.5933136573381427e-10
-243.87000000000558,1.5935751435057355e-10
-243.86000000000558,1.5938366833175918e-10
-243.8500000000056,1.594098276786917e-10
-243.8400000000056,1.5943599239269214e-10
-243.8300000000056,1.594621624750821e-10
-243.82000000000562,1.5948833792718323e-10
-243.81000000000563,1.5951451875031776e-10
-243.80000000000564,1.5954070494580844e-10
-243.79000000000565,1.5956689651497793e-10
-243.78000000000566,1.5959309345914977e-10
-243.77000000000567,1.5961929577964766e-10
-243.76000000000568,1.596455034777956e-10
-243.75000000000568,1.596717165549181e-10
-243.7400000000057,1.5969793501234001e-10
-243.7300000000057,1.5972415885138656e-10
-243.7200000000057,1.5975038807338347e-10
-243.71000000000572,1.597766226796566e-10
-243.70000000000573,1.598028626715324e-10
-243.69000000000574,1.598291080503377e-10
-243.68000000000575,1.598553588173995e-10
-243.67000000000576,1.5988161497404545e-10
-243.66000000000577,1.5990787652160325e-10
-243.65000000000578,1.5993414346140135e-10
-243.64000000000578,1.5996041579476847e-10
-243.6300000000058,1.5998669352303357e-10
-243.6200000000058,1.6001297664752602e-10
-243.6100000000058,1.6003926516957565e-10
-243.60000000000582,1.6006555909051287e-10
-243.59000000000583,1.60091858411668e-10
-243.58000000000584,1.601181631343723e-10
-243.57000000000585,1.6014447325995667e-10
-243.56000000000586,1.6017078878975332e-10
-243.55000000000587,1.6019710972509392e-10
-243.54000000000588,1.6022343606731124e-10
-243.53000000000588,1.6024976781773808e-10
-243.5200000000059,1.6027610497770772e-10
-243.5100000000059,1.6030244754855374e-10
-243.5000000000059,1.603287955316103e-10
-243.49000000000592,1.6035514892821175e-10
-243.48000000000593,1.6038150773969276e-10
-243.47000000000594,1.604078719673888e-10
-243.46000000000595,1.604342416126351e-10
-243.45000000000596,1.604606166767678e-10
-243.44000000000597,1.6048699716112315e-10
-243.43000000000598,1.605133830670379e-10
-243.42000000000598,1.6053977439584925e-10
-243.410000000006,1.6056617114889439e-10
-243.400000000006,1.6059257332751143e-10
-243.390000000006,1.6061898093303863e-10
-243.38000000000602,1.6064539396681478e-10
-243.37000000000603,1.6067181243017852e-10
-243.36000000000604,1.6069823632446936e-10
-243.35000000000605,1.6072466565102732e-10
-243.34000000000606,1.607511004111925e-10
-243.33000000000607,1.607775406063052e-10
-243.32000000000608,1.6080398623770668e-10
-243.31000000000608,1.608304373067382e-10
-243.3000000000061,1.608568938147416e-10
-243.2900000000061,1.6088335576305868e-10
-243.2800000000061,1.6090982315303226e-10
-243.27000000000612,1.6093629598600495e-10
