u1,u2
-1.3092578505042933,0.0
-1.3683647621791633,0.0
3.233333333333286,0.0
-1.3065878178635864,-0.08497981807701238
-1.3655781546263603,-0.09094816099042433
3.2138201446635364,-4.822351533186834e-05
-1.2985896591607604,-0.1696029591630568
-1.3572303303440105,-0.18152501232584048
3.1555510613780458,-0.0003876393039465714
-1.2852991053134812,-0.25351468107842573
-1.343357237180978,-0.271360756029393
3.059331693318332,-0.001319138862170166
-1.2667754200525565,-0.33636408788868255
-1.3240186289214513,-0.3600886230732761
2.9264859832099996,-0.0031652137916743754
-1.2431009728952307,-0.4178059950152526
-1.2992978205336971,-0.4473464007345562
2.758831368079341,-0.006286909462934746
-1.2143806506366628,-0.49750272594394623
-1.269301335293705,-0.5327779725432061
2.558654056436311,-0.011110219719549272
-1.180741116644788,-0.5751258197659138
-1.2341584393217968,-0.6160348715042923
2.3287066051300633,-0.01816921672884783
-1.1423299298051068,-0.650357630554369
-1.1940205408213884,-0.6967778409748286
2.0722885541259086,-0.028177852004074536
-1.0993145374069293,-0.7228928018114297
-1.1490604443799384,-0.7746783938113734
1.7935765667683807,-0.04214620349193058
-1.0518811585192815,-0.7924396019101105
-1.0994714531005358,-0.8494203563781686
1.4986285167446773,-0.06153995367360577
-1.0002335763824906,-0.8587211095890351
-1.0454663094252183,-0.9207013782845993
1.1978301311498452,-0.08835680016565438
-0.944591860000122,-0.9214762421613993
-0.9872759716559542,-0.9882343841842559
0.9102220405692,-0.12446955325385836
-0.8851910370215557,-0.9804606240228315
-0.9251482283155211,-1.0517489392311772
0.6613354677127996,-0.16961861432698705
-0.8222797370999476,-1.0354472936706043
-0.8593461586126632,-1.1109924947341674
0.46640976638641285,-0.22053682558288457
-0.756118828029894,-1.0862272537528905
-0.7901464803796273,-1.1657314927172464
0.3238175033370694,-0.2725344711183736
-0.6869800671176799,-1.1326098752584834
-0.7178378020100437,-1.215752294868841
0.2209838121593848,-0.3228218702967809
-0.6151447855821471,-1.1744231681049482
-0.6427188204134385,-1.2608619089512765
0.1464540538076692,-0.3702974186331626
-0.5409026220433398,-1.2115139345926733
-0.5650965220619897,-1.3008884968251437
0.09314036367197356,-0.4138450503879038
-0.46455031780839745,-1.2437478250597607
-0.4852844487451038,-1.3356816588207836
0.055913901713513375,-0.4525820561619393
-0.38639058267668075,-1.2710093170697512
-0.4036010926599952,-1.3651125044802075
0.03086851449054523,-0.48591063259588363
-0.30673103557069226,-1.2932016404732534
-0.32036848163095244,-1.3890735372380523
0.014970564688894433,-0.5134496601468393
-0.22588321967685596,-1.3102466706049123
-0.2359110029117858,-1.407478398238383
0.005846002728029362,-0.5348785644339502
-0.144161687200343,-1.3220848106678411
-0.15055449271972096,-1.4202615290202918
0.0014969358817229494,-0.5499126675678306
-0.06188314456249599,-1.3286748820450318
-0.06462559009171888,-1.4273778219779565
0.00011743201386295657,-0.5583365042193311
0.020634354847327237,-1.3299940379572524
0.021548679604768552,-1.428802325583508
-4.34639815927694e-06,-0.5600274306751889
0.10307218618319529,-1.326037711721853
0.1076411568669018,-1.4245300592825367
-0.0005444063252145262,-0.5549608129792244
0.18511191469337215,-1.316819606076485
0.1933247247564504,-1.4145759745845699
-0.0031904504731235656,-0.5432104732230342
0.2664360619488265,-1.3023717248789775
0.2782725111127543,-1.3989750699060066
-0.00969262101612034,-0.5249467974963358
0.34672889509887667,-1.2827444432681279
0.36215821311235946,-1.3777826365976327
-0.021936165006305047,-0.50042461550885
0.42567725608157664,-1.2580066073636569
0.4446566221336038,-1.351074588699795
-0.04207751396510889,-0.46994847226624237
