timestamps,magnifications
-250.0,299.5750421919035
-249.99,299.5750046179885
-249.98000000000002,299.57496703909766
-249.97000000000003,299.5749294552299
-249.96000000000004,299.5748918663841
-249.95000000000005,299.5748542725598
-249.94000000000005,299.5748166737556
-249.93000000000006,299.574779069971
-249.92000000000007,299.5747414612051
-249.91000000000008,299.5747038474568
-249.9000000000001,299.574666228726
-249.8900000000001,299.5746286050106
-249.8800000000001,299.57459097631045
-249.87000000000012,299.5745533426243
-249.86000000000013,299.57451570395204
-249.85000000000014,299.5744780602919
-249.84000000000015,299.57444041164354
-249.83000000000015,299.5744027580059
-249.82000000000016,299.57436509937787
-249.81000000000017,299.57432743575896
-249.80000000000018,299.57428976714834
-249.7900000000002,299.57425209354466
-249.7800000000002,299.5742144149471
-249.7700000000002,299.5741767313554
-249.76000000000022,299.5741390427681
-249.75000000000023,299.57410134918456
-249.74000000000024,299.5740636506037
-249.73000000000025,299.57402594702484
-249.72000000000025,299.57398823844665
-249.71000000000026,299.57395052486913
-249.70000000000027,299.57391280629076
-249.69000000000028,299.57387508271063
-249.6800000000003,299.5738373541278
-249.6700000000003,299.57379962054205
-249.6600000000003,299.5737618819519
-249.65000000000032,299.5737241383562
-249.64000000000033,299.5736863897549
-249.63000000000034,299.57364863614663
-249.62000000000035,299.5736108775303
-249.61000000000035,299.5735731139057
-249.60000000000036,299.57353534527124
-249.59000000000037,299.57349757162643
-249.58000000000038,299.5734597929702
-249.5700000000004,299.5734220093018
-249.5600000000004,299.57338422062026
-249.5500000000004,299.5733464269247
-249.54000000000042,299.57330862821425
-249.53000000000043,299.5732708244881
-249.52000000000044,299.5732330157453
-249.51000000000045,299.5731952019845
-249.50000000000045,299.5731573832058
-249.49000000000046,299.57311955940753
-249.48000000000047,299.57308173058965
-249.47000000000048,299.5730438967501
-249.4600000000005,299.5730060578884
-249.4500000000005,299.5729682140041
-249.4400000000005,299.57293036509634
-249.43000000000052,299.57289251116373
-249.42000000000053,299.57285465220536
-249.41000000000054,299.57281678822096
-249.40000000000055,299.5727789192089
-249.39000000000055,299.572741045169
-249.38000000000056,299.5727031660998
-249.37000000000057,299.57266528200046
-249.36000000000058,299.5726273928704
-249.3500000000006,299.57258949870885
-249.3400000000006,299.5725515995144
-249.3300000000006,299.57251369528655
-249.32000000000062,299.5724757860243
-249.31000000000063,299.57243787172655
-249.30000000000064,299.5723999523928
-249.29000000000065,299.57236202802176
-249.28000000000065,299.57232409861285
-249.27000000000066,299.572286164165
-249.26000000000067,299.5722482246775
-249.25000000000068,299.57221028014925
-249.2400000000007,299.5721723305792
-249.2300000000007,299.5721343759673
-249.2200000000007,299.5720964163117
-249.21000000000072,299.5720584516115
-249.20000000000073,299.57202048186684
-249.19000000000074,299.5719825070759
-249.18000000000075,299.5719445272384
-249.17000000000075,299.57190654235285
-249.16000000000076,299.5718685524185
-249.15000000000077,299.5718305574344
-249.14000000000078,299.57179255740044
-249.1300000000008,299.57175455231464
-249.1200000000008,299.5717165421766
-249.1100000000008,299.5716785269854
-249.10000000000082,299.57164050674044
-249.09000000000083,299.5716024814402
-249.08000000000084,299.5715644510844
-249.07000000000085,299.57152641567166
-249.06000000000085,299.5714883752012
-249.05000000000086,299.57145032967253
