timestamps,magnifications
-50.0,301.298764637659
-49.99,301.2992864825835
-49.980000000000004,301.2998086425269
-49.970000000000006,301.3003311177431
-49.96000000000001,301.30085390848626
-49.95000000000001,301.301377015011
-49.94000000000001,301.30190043757193
-49.930000000000014,301.30242417642415
-49.920000000000016,301.3029482318228
-49.91000000000002,301.3034726040234
-49.90000000000002,301.3039972932817
-49.89000000000002,301.3045222998538
-49.880000000000024,301.3050476239959
-49.870000000000026,301.3055732659645
-49.86000000000003,301.30609922601644
-49.85000000000003,301.3066255044088
-49.84000000000003,301.3071521013989
-49.830000000000034,301.3076790172443
-49.820000000000036,301.3082062522028
-49.81000000000004,301.3087338065325
-49.80000000000004,301.3092616804917
-49.79000000000004,301.30978987433923
-49.780000000000044,301.31031838833377
-49.770000000000046,301.31084722273454
-49.76000000000005,301.31137637780097
-49.75000000000005,301.31190585379267
-49.74000000000005,301.3124356509696
-49.730000000000054,301.31296576959187
-49.720000000000056,301.3134962099201
-49.71000000000006,301.3140269722149
-49.70000000000006,301.3145580567373
-49.69000000000006,301.3150894637486
-49.680000000000064,301.31562119351025
-49.670000000000066,301.3161532462841
-49.66000000000007,301.316685622332
-49.65000000000007,301.3172183219165
-49.64000000000007,301.3177513453001
-49.630000000000074,301.31828469274564
-49.620000000000076,301.31881836451635
-49.61000000000008,301.31935236087537
-49.60000000000008,301.3198866820866
-49.59000000000008,301.3204213284137
-49.580000000000084,301.32095630012117
-49.570000000000086,301.32149159747325
-49.56000000000009,301.32202722073475
-49.55000000000009,301.32256317017055
-49.54000000000009,301.32309944604606
-49.53000000000009,301.32363604862684
-49.520000000000095,301.32417297817847
-49.5100000000001,301.3247102349673
-49.5000000000001,301.32524781925946
-49.4900000000001,301.3257857313218
-49.4800000000001,301.32632397142095
-49.470000000000105,301.3268625398242
-49.46000000000011,301.32740143679905
-49.45000000000011,301.32794066261306
-49.44000000000011,301.3284802175344
-49.43000000000011,301.32902010183113
-49.420000000000115,301.32956031577186
-49.41000000000012,301.3301008596254
-49.40000000000012,301.33064173366085
-49.39000000000012,301.3311829381476
-49.38000000000012,301.33172447335517
-49.370000000000125,301.3322663395534
