timestamp,u1,u2,image_coords,n_images,magnifications,total_magnification
-49.29000000000014,-0.9858000000000028,-0.28047676077232175,"[(31.362508569987998, np.float64(-1.6655237228746844))]",1,[np.float64(273.5873310428849)],273.5873310428849
-49.28000000000014,-0.9856000000000029,-0.2803612907184839,"[(31.352011201737586, np.float64(-1.6655364471652767))]",1,[np.float64(273.57136921855766)],273.57136921855766
-49.270000000000145,-0.9854000000000029,-0.280245820664646,"[(31.341514477558786, np.float64(-1.665549178147342))]",1,[np.float64(273.55539439290624)],273.55539439290624
-49.26000000000015,-0.985200000000003,-0.28013035061080815,"[(31.331018397978557, np.float64(-1.6655619158253465))]",1,[np.float64(273.5394065535887)],273.5394065535887
-49.25000000000015,-0.985000000000003,-0.2800148805569702,"[(31.320522963521302, np.float64(-1.6655746602037578))]",1,[np.float64(273.52340568824684)],273.52340568824684
-49.24000000000015,-0.984800000000003,-0.2798994105031323,"[(31.31002817471295, np.float64(-1.6655874112870466))]",1,[np.float64(273.5073917845102)],273.5073917845102
-49.23000000000015,-0.984600000000003,-0.27978394044929433,"[(31.29953403208009, np.float64(-1.6656001690796867))]",1,[np.float64(273.4913648300033)],273.4913648300033
-49.220000000000155,-0.984400000000003,-0.2796684703954565,"[(31.289040536149628, np.float64(-1.665612933586155))]",1,[np.float64(273.47532481232855)],273.47532481232855
-49.21000000000016,-0.9842000000000032,-0.27955300034161856,"[(31.278547687448945, np.float64(-1.6656257048109309))]",1,[np.float64(273.45927171908176)],273.45927171908176
-49.20000000000016,-0.9840000000000032,-0.27943753028778073,"[(31.268055486504984, np.float64(-1.6656384827584965))]",1,[np.float64(273.44320553784615)],273.44320553784615
-49.19000000000016,-0.9838000000000032,-0.2793220602339428,"[(31.257563933848182, np.float64(-1.6656512674333386))]",1,[np.float64(273.42712625619413)],273.42712625619413
-49.18000000000016,-0.9836000000000032,-0.27920659018010485,"[(31.247073030006483, np.float64(-1.6656640588399447))]",1,[np.float64(273.41103386168544)],273.41103386168544
-49.170000000000165,-0.9834000000000033,-0.279091120126267,"[(31.236582775509362, np.float64(-1.6656768569828064))]",1,[np.float64(273.3949283418662)],273.3949283418662
-49.16000000000017,-0.9832000000000033,-0.2789756500724291,"[(31.22609317088676, np.float64(-1.665689661866418))]",1,[np.float64(273.37880968427385)],273.37880968427385
-49.15000000000017,-0.9830000000000034,-0.27886018001859125,"[(31.215604216669163, np.float64(-1.6657024734952768))]",1,[np.float64(273.36267787642885)],273.36267787642885
-49.14000000000017,-0.9828000000000034,-0.2787447099647533,"[(31.205115913387548, np.float64(-1.6657152918738827))]",1,[np.float64(273.3465329058453)],273.3465329058453
-49.13000000000017,-0.9826000000000035,-0.27862923991091537,"[(31.19462826157339, np.float64(-1.665728117006739))]",1,[np.float64(273.3303747600197)],273.3303747600197
-49.120000000000175,-0.9824000000000035,-0.27851376985707743,"[(31.184141261758697, np.float64(-1.6657409488983514))]",1,[np.float64(273.3142034264407)],273.3142034264407
-49.11000000000018,-0.9822000000000035,-0.2783982998032396,"[(31.173654914475982, np.float64(-1.6657537875532291))]",1,[np.float64(273.2980188925848)],273.2980188925848
-49.10000000000018,-0.9820000000000035,-0.27828282974940166,"[(31.16316922025822, np.float64(-1.665766632975884))]",1,[np.float64(273.28182114591453)],273.28182114591453
-49.09000000000018,-0.9818000000000037,-0.27816735969556383,"[(31.152684179638896, np.float64(-1.6657794851708307))]",1,[np.float64(273.26561017387644)],273.26561017387644
-49.08000000000018,-0.9816000000000037,-0.2780518896417259,"[(31.14219979315097, np.float64(-1.6657923441425864))]",1,[np.float64(273.24938596391564)],273.24938596391564
-49.070000000000185,-0.9814000000000037,-0.27793641958788795,"[(31.131716061330962, np.float64(-1.6658052098956728))]",1,[np.float64(273.2331485034543)],273.2331485034543
-49.06000000000019,-0.9812000000000037,-0.27782094953405,"[(31.121232984712858, np.float64(-1.665818082434613))]",1,[np.float64(273.2168977799098)],273.2168977799098
-49.05000000000019,-0.9810000000000038,-0.2777054794802122,"[(31.110750563832173, np.float64(-1.6658309617639335))]",1,[np.float64(273.20063378068534)],273.20063378068534
-49.04000000000019,-0.9808000000000038,-0.27759000942637424,"[(31.10026879922493, np.float64(-1.6658438478881639))]",1,[np.float64(273.1843564931688)],273.1843564931688
-49.03000000000019,-0.9806000000000039,-0.2774745393725364,"[(31.089787691427908, np.float64(-1.6658567408118363))]",1,[np.float64(273.1680659047414)],273.1680659047414
-49.020000000000195,-0.9804000000000039,-0.27735906931869847,"[(31.079307240977958, np.float64(-1.6658696405394864))]",1,[np.float64(273.15176200276716)],273.15176200276716
