timestamps,magnifications
-250.0,942.6580886213094
-249.99,942.6564368368818
-249.98000000000002,942.6548116617344
-249.97000000000003,942.6534192250939
-249.96000000000004,942.6519078627734
-249.95000000000005,942.6501313336036
-249.94000000000005,942.648731469561
-249.93000000000006,942.6468163792481
-249.92000000000007,942.6455104881516
-249.91000000000008,942.643899484646
-249.9000000000001,942.6423060895511
-249.8900000000001,942.6406385874492
-249.8800000000001,942.6390021823329
-249.87000000000012,942.6376135311511
-249.86000000000013,942.6360126145137
-249.85000000000014,942.6343801214605
-249.84000000000015,942.632857011173
-249.83000000000015,942.631173227943
-249.82000000000016,942.6294365431684
-249.81000000000017,942.6278989342261
-249.80000000000018,942.6265228913534
-249.7900000000002,942.6249525360088
-249.7800000000002,942.6233117491909
-249.7700000000002,942.621828721044
-249.76000000000022,942.6201401323781
-249.75000000000023,942.6188145450099
-249.74000000000024,942.6170947717073
-249.73000000000025,942.6154224791394
-249.72000000000025,942.6139017438019
-249.71000000000026,942.6123543507897
-249.70000000000027,942.6108390198195
-249.69000000000028,942.6091948370993
-249.6800000000003,942.6074974671607
-249.6700000000003,942.6060266317394
-249.6600000000003,942.604461890025
-249.65000000000032,942.6028865528572
-249.64000000000033,942.6012363345351
-249.63000000000034,942.5995871936432
-249.62000000000035,942.5980320702882
-249.61000000000035,942.5966934141995
-249.60000000000036,942.5951044802351
-249.59000000000037,942.5934424027619
-249.58000000000038,942.5917722075988
-249.5700000000004,942.5903677559656
-249.5600000000004,942.5886568201713
-249.5500000000004,942.5870523081492
-249.54000000000042,942.585661775491
-249.53000000000043,942.5840084954659
-249.52000000000044,942.5822668448031
-249.51000000000045,942.5809396301793
-249.50000000000045,942.5789716000081
-249.49000000000046,942.5774327197661
-249.48000000000047,942.5759343113411
-249.47000000000048,942.574545614585
-249.4600000000005,942.5729059330574
-249.4500000000005,942.5713311602191
-249.4400000000005,942.5698908005216
-249.43000000000052,942.5681842904476
-249.42000000000053,942.5666292337812
-249.41000000000054,942.5650402100631
-249.40000000000055,942.5633710078432
-249.39000000000055,942.5618862374794
-249.38000000000056,942.560367955618
-249.37000000000057,942.5587551893136
-249.36000000000058,942.5571368641113
-249.3500000000006,942.5555196362053
-249.3400000000006,942.5542150080357
-249.3300000000006,942.5526845476957
-249.32000000000062,942.5506907368359
-249.31000000000063,942.5491417183428
-249.30000000000064,942.547833505768
-249.29000000000065,942.5460482575259
-249.28000000000065,942.544519553278
-249.27000000000066,942.5429172101663
-249.26000000000067,942.5414165824186
-249.25000000000068,942.5400146442298
-249.2400000000007,942.5382166385817
-249.2300000000007,942.5366250208046
-249.2200000000007,942.5350415520907
-249.21000000000072,942.5334113926376
-249.20000000000073,942.5319336018867
-249.19000000000074,942.5304636991473
-249.18000000000075,942.5285480016329
-249.17000000000075,942.5271780581121
-249.16000000000076,942.5253030740879
-249.15000000000077,942.5242426298041
-249.14000000000078,942.5225714935386
-249.1300000000008,942.5208558538422
-249.1200000000008,942.5193892674881
-249.1100000000008,942.5178014388899
-249.10000000000082,942.5160611501271
-249.09000000000083,942.5147642106374
-249.08000000000084,942.5131241839783
-249.07000000000085,942.5115875889658
-249.06000000000085,942.5098272954996
-249.05000000000086,942.5084120477427
-249.04000000000087,942.5068858911643
-249.03000000000088,942.5048647587583
-249.0200000000009,942.503518264577
-249.0100000000009,942.5019341165926
-249.0000000000009,942.5003628064019
-248.99000000000092,942.4988578120707
-248.98000000000093,942.497271513176
-248.97000000000094,942.4956834716636
-248.96000000000095,942.4939577097718
-248.95000000000095,942.4925618105833
-248.94000000000096,942.4910236525866
-248.93000000000097,942.489212414994
-248.92000000000098,942.4878949432666
-248.910000000001,942.4861897485455
-248.900000000001,942.4845133465186
-248.890000000001,942.4831046810298
-248.88000000000102,942.4813765000786
-248.87000000000103,942.4799047820248
-248.86000000000104,942.4784480632675
-248.85000000000105,942.4766686869625
-248.84000000000106,942.4751337484249
-248.83000000000106,942.473641269004
-248.82000000000107,942.4720788849975
-248.81000000000108,942.470350029955
-248.8000000000011,942.4689785593525
-248.7900000000011,942.4673799542172
-248.7800000000011,942.4657217438125
-248.77000000000112,942.4643346148141
-248.76000000000113,942.4625965351972
-248.75000000000114,942.4612797096872
-248.74000000000115,942.4595370429802
-248.73000000000116,942.4578672658981
-248.72000000000116,942.4564307500681
-248.71000000000117,942.4547823618269
-248.70000000000118,942.4531375970994
-248.6900000000012,942.4516984002237
-248.6800000000012,942.4500280481996
-248.6700000000012,942.4485060546465
-248.66000000000122,942.446842513564
-248.65000000000123,942.4452990482702
-248.64000000000124,942.4436508480007
-248.63000000000125,942.4421799964357
-248.62000000000126,942.4406560216041
-248.61000000000126,942.438850416233
-248.60000000000127,942.437409696451
-248.59000000000128,942.4361108924866
-248.5800000000013,942.4342416216739
-248.5700000000013,942.432781061552
-248.5600000000013,942.4310235161518
-248.55000000000132,942.4296628353007
-248.54000000000133,942.4281551756595
-248.53000000000134,942.4266434585984
-248.52000000000135,942.4249189024719
-248.51000000000136,942.423260751264
-248.50000000000136,942.4219072769079
-248.49000000000137,942.4201001310216
-248.48000000000138,942.4185550437196
-248.4700000000014,942.4169427352358
-248.4600000000014,942.4154028154919
-248.4500000000014,942.4137835070593
-248.44000000000142,942.4123252482271
-248.43000000000143,942.410821928602
-248.42000000000144,942.4092473361014
-248.41000000000145,942.4073511388224
-248.40000000000146,942.4058994774322
-248.39000000000146,942.4045223600995
-248.38000000000147,942.4026813630105
-248.37000000000148,942.401229151476
-248.3600000000015,942.3997833372257
-248.3500000000015,942.3981140523183
-248.3400000000015,942.3963768344954
-248.33000000000152,942.3948991776238
-248.32000000000153,942.3933383588386
-248.31000000000154,942.3918522188546
-248.30000000000155,942.390213710763
-248.29000000000156,942.3887064159533
-248.28000000000156,942.3872461912522
-248.27000000000157,942.3858079859856
-248.26000000000158,942.3841221039136
-248.2500000000016,942.3823914393961
-248.2400000000016,942.3808232165838
-248.2300000000016,942.3792503272908
-248.22000000000162,942.3778483235478
-248.21000000000163,942.3760701161414
-248.20000000000164,942.37467211412
-248.19000000000165,942.3729999586301
-248.18000000000166,942.3714797497597
-248.17000000000166,942.369797700234
-248.16000000000167,942.368283519812
-248.15000000000168,942.3668394278217
-248.1400000000017,942.3649889148467
-248.1300000000017,942.363389409815
-248.1200000000017,942.3618829076383
-248.11000000000172,942.3603678491503
-248.10000000000173,942.3587825392397
-248.09000000000174,942.3570590540742
-248.08000000000175,942.3556622726392
-248.07000000000176,942.3541097473372
-248.06000000000176,942.3525222530005
-248.05000000000177,942.3507950708336
-248.04000000000178,942.3493832504212
-248.0300000000018,942.3476840169992
-248.0200000000018,942.3462886001989
-248.0100000000018,942.3446831687801
-248.00000000000182,942.3429518617386
-247.99000000000183,942.3414443767633
-247.98000000000184,942.3399600370824
-247.97000000000185,942.3385804613081
-247.96000000000186,942.3368124762076
-247.95000000000186,942.3352286712652
-247.94000000000187,942.3336802277813
-247.93000000000188,942.3321650834218
-247.9200000000019,942.3306472106755
-247.9100000000019,942.3289238253792
-247.9000000000019,942.3274940727894
-247.89000000000192,942.3258019763277
-247.88000000000193,942.3241343960653
-247.87000000000194,942.3226413541481
-247.86000000000195,942.3210540606299
-247.85000000000196,942.3195444180571
-247.84000000000196,942.3179166811803
-247.83000000000197,942.3162739245038
-247.82000000000198,942.3147100643023
-247.810000000002,942.3132596183842
-247.800000000002,942.3117765006446
-247.790000000002,942.3099899853939
-247.78000000000202,942.3084634539514
-247.77000000000203,942.3069558937561
-247.76000000000204,942.3052859865115
-247.75000000000205,942.3036817202606
-247.74000000000206,942.3020550729882
-247.73000000000206,942.3006247579949
-247.72000000000207,942.2989627510885
-247.71000000000208,942.2973626713767
-247.7000000000021,942.2959102035046
-247.6900000000021,942.2945333767284
-247.6800000000021,942.2929101553461
-247.67000000000212,942.2912898868162
-247.66000000000213,942.2894946450737
-247.65000000000214,942.287966314363
-247.64000000000215,942.2864305022995
-247.63000000000216,942.2849587186103
-247.62000000000216,942.2832482640425
-247.61000000000217,942.2817024342246
-247.60000000000218,942.2801968623576
-247.5900000000022,942.2786071849972
-247.5800000000022,942.2769629573046
-247.5700000000022,942.2756489049689
-247.56000000000222,942.2740097118635
-247.55000000000223,942.2723761578668
-247.54000000000224,942.2707359033192
-247.53000000000225,942.2690450297487
-247.52000000000226,942.2675765041474
-247.51000000000226,942.2661784082568
-247.50000000000227,942.2643131019117
-247.49000000000228,942.2629781966587
-247.4800000000023,942.2613888630369
-247.4700000000023,942.2597051687544
-247.4600000000023,942.2583739722054
-247.45000000000232,942.2567197492715
-247.44000000000233,942.2551341283802
-247.43000000000234,942.2535006267074
-247.42000000000235,942.2519335415808
-247.41000000000236,942.2504938069937
-247.40000000000236,942.2486537774973
-247.39000000000237,942.2472589050257
-247.38000000000238,942.245755242425
-247.3700000000024,942.2439883821187
-247.3600000000024,942.2425771590972
-247.3500000000024,942.2409299911371
-247.34000000000242,942.2393522163679
-247.33000000000243,942.2377811921453
-247.32000000000244,942.236183458839
-247.31000000000245,942.23474629133
-247.30000000000246,942.2333233848332
-247.29000000000246,942.2314536530748
-247.28000000000247,942.2300123497697
-247.27000000000248,942.2283401582945
-247.2600000000025,942.2268002674277
-247.2500000000025,942.225269976436
-247.2400000000025,942.223881821182
-247.23000000000252,942.222126229351
-247.22000000000253,942.2204766287289
-247.21000000000254,942.2189030517789
-247.20000000000255,942.2175112001132
-247.19000000000256,942.2157829042118
-247.18000000000256,942.2142366921462
-247.17000000000257,942.2127383767988
-247.16000000000258,942.2111314319861
-247.1500000000026,942.2094642399989
-247.1400000000026,942.2080713386312
-247.1300000000026,942.2065451342492
-247.12000000000262,942.2048419746125
-247.11000000000263,942.2032056127827
-247.10000000000264,942.2017455852625
-247.09000000000265,942.2000165669087
-247.08000000000266,942.1985694258012
-247.07000000000266,942.1969371024003
-247.06000000000267,942.1954033934479
-247.05000000000268,942.193822421694
-247.0400000000027,942.1922212617416
