timestamps,magnifications
-250.0,522.291622573562
-249.99,522.3221910772983
-249.98000000000002,522.3527667661798
-249.97000000000003,522.3833496426668
-249.96000000000004,522.4139397092201
-249.95000000000005,522.4445369683026
-249.94000000000005,522.4751414223783
-249.93000000000006,522.5057530739109
-249.92000000000007,522.5363719253664
-249.91000000000008,522.5669979792125
-249.9000000000001,522.5976312379161
-249.8900000000001,522.628271703947
-249.8800000000001,522.6589193797754
-249.87000000000012,522.6895742678723
-249.86000000000013,522.7202363707111
-249.85000000000014,522.7509056907644
-249.84000000000015,522.7815822305071
-249.83000000000015,522.8122659924159
-249.82000000000016,522.8429569789674
-249.81000000000017,522.8736551926395
-249.80000000000018,522.9043606359108
-249.7900000000002,522.9350733112635
-249.7800000000002,522.9657932211771
-249.7700000000002,522.9965203681355
-249.76000000000022,523.0272547546225
-249.75000000000023,523.0579963831223
-249.74000000000024,523.0887452561213
-249.73000000000025,523.1195013761067
-249.72000000000025,523.1502647455667
-249.71000000000026,523.1810353669905
-249.70000000000027,523.2118132428693
-249.69000000000028,523.2425983756942
-249.6800000000003,523.2733907679583
-249.6700000000003,523.3041904221554
-249.6600000000003,523.3349973407804
-249.65000000000032,523.3658115263299
-249.64000000000033,523.3966329813013
-249.63000000000034,523.4274617081932
-249.62000000000035,523.4582977095044
-249.61000000000035,523.4891409877365
-249.60000000000036,523.5199915453916
-249.59000000000037,523.550849384972
-249.58000000000038,523.5817145089827
-249.5700000000004,523.6125869199282
-249.5600000000004,523.6434666203152
-249.5500000000004,523.6743536126517
-249.54000000000042,523.7052478994464
-249.53000000000043,523.7361494832093
-249.52000000000044,523.7670583664511
-249.51000000000045,523.7979745516841
-249.50000000000045,523.8288980414214
-249.49000000000046,523.8598288381786
-249.48000000000047,523.8907669444704
-249.47000000000048,523.9217123628138
-249.4600000000005,523.952665095726
-249.4500000000005,523.9836251457272
-249.4400000000005,524.0145925153375
-249.43000000000052,524.0455672070781
-249.42000000000053,524.0765492234713
-249.41000000000054,524.1075385670412
-249.40000000000055,524.1385352403117
-249.39000000000055,524.1695392458098
