timestamps,magnifications
-250.0,299.5759964124422
-249.99,299.57595899173424
-249.98000000000002,299.57592156608086
-249.97000000000003,299.57588413548103
-249.96000000000004,299.575846699934
-249.95000000000005,299.57580925943876
-249.94000000000005,299.5757718139947
-249.93000000000006,299.57573436360076
-249.92000000000007,299.5756969082561
-249.91000000000008,299.5756594479598
-249.9000000000001,299.57562198271114
-249.8900000000001,299.57558451250907
-249.8800000000001,299.5755470373528
-249.87000000000012,299.57550955724145
-249.86000000000013,299.57547207217425
-249.85000000000014,299.57543458215014
-249.84000000000015,299.57539708716837
-249.83000000000015,299.57535958722804
-249.82000000000016,299.5753220823282
-249.81000000000017,299.57528457246815
-249.80000000000018,299.5752470576469
-249.7900000000002,299.5752095378636
-249.7800000000002,299.5751720131173
-249.7700000000002,299.5751344834073
-249.76000000000022,299.5750969487325
-249.75000000000023,299.57505940909226
-249.74000000000024,299.57502186448545
-249.73000000000025,299.5749843149115
-249.72000000000025,299.57494676036936
-249.71000000000026,299.5749092008581
-249.70000000000027,299.57487163637694
-249.69000000000028,299.5748340669249
-249.6800000000003,299.57479649250126
-249.6700000000003,299.57475891310503
-249.6600000000003,299.5747213287354
-249.65000000000032,299.5746837393915
-249.64000000000033,299.5746461450724
-249.63000000000034,299.57460854577715
-249.62000000000035,299.57457094150504
-249.61000000000035,299.5745333322551
-249.60000000000036,299.5744957180265
-249.59000000000037,299.5744580988183
-249.58000000000038,299.5744204746297
-249.5700000000004,299.5743828454597
-249.5600000000004,299.57434521130756
-249.5500000000004,299.57430757217236
-249.54000000000042,299.5742699280531
-249.53000000000043,299.57423227894907
-249.52000000000044,299.57419462485933
-249.51000000000045,299.574156965783
-249.50000000000045,299.5741193017192
-249.49000000000046,299.57408163266706
-249.48000000000047,299.5740439586256
-249.47000000000048,299.5740062795941
-249.4600000000005,299.5739685955716
-249.4500000000005,299.5739309065572
-249.4400000000005,299.5738932125501
-249.43000000000052,299.57385551354935
-249.42000000000053,299.5738178095541
-249.41000000000054,299.57378010056345
-249.40000000000055,299.5737423865765
-249.39000000000055,299.57370466759244
-249.38000000000056,299.57366694361025
-249.37000000000057,299.5736292146292
-249.36000000000058,299.5735914806483
-249.3500000000006,299.57355374166684
-249.3400000000006,299.5735159976837
-249.3300000000006,299.57347824869817
-249.32000000000062,299.57344049470925
-249.31000000000063,299.57340273571623
-249.30000000000064,299.573364971718
-249.29000000000065,299.5733272027138
-249.28000000000065,299.57328942870276
-249.27000000000066,299.57325164968404
-249.26000000000067,299.57321386565667
-249.25000000000068,299.5731760766197
-249.2400000000007,299.57313828257236
-249.2300000000007,299.5731004835137
-249.2200000000007,299.57306267944296
-249.21000000000072,299.5730248703592
-249.20000000000073,299.5729870562614
-249.19000000000074,299.5729492371488
-249.18000000000075,299.57291141302056
-249.17000000000075,299.5728735838756
-249.16000000000076,299.5728357497133
-249.15000000000077,299.57279791053253
-249.14000000000078,299.5727600663326
-249.1300000000008,299.57272221711247
-249.1200000000008,299.5726843628713
-249.1100000000008,299.57264650360827
-249.10000000000082,299.57260863932237
-249.09000000000083,299.5725707700128
-249.08000000000084,299.57253289567876
-249.07000000000085,299.57249501631924
-249.06000000000085,299.5724571319333
-249.05000000000086,299.5724192425202
-249.04000000000087,299.5723813480788
-249.03000000000088,299.5723434486086
-249.0200000000009,299.5723055441084
-249.0100000000009,299.57226763457743
-249.0000000000009,299.5722297200148
-248.99000000000092,299.5721918004196
-248.98000000000093,299.5721538757909
-248.97000000000094,299.5721159461279
-248.96000000000095,299.57207801142965
-248.95000000000095,299.57204007169526
-248.94000000000096,299.57200212692385
-248.93000000000097,299.5719641771146
-248.92000000000098,299.5719262222664
-248.910000000001,299.5718882623787
-248.900000000001,299.57185029745034
-248.890000000001,299.57181232748053
-248.88000000000102,299.57177435246837
-248.87000000000103,299.5717363724129
-248.86000000000104,299.57169838731335
-248.85000000000105,299.5716603971687
-248.84000000000106,299.5716224019782
-248.83000000000106,299.57158440174084
-248.82000000000107,299.5715463964558
-248.81000000000108,299.5715083861221
-248.8000000000011,299.57147037073895
-248.7900000000011,299.5714323503054
-248.7800000000011,299.5713943248205
-248.77000000000112,299.57135629428353
-248.76000000000113,299.57131825869345
-248.75000000000114,299.5712802180494
-248.74000000000115,299.57124217235054
-248.73000000000116,299.5712041215958
-248.72000000000116,299.5711660657846
-248.71000000000117,299.57112800491575
-248.70000000000118,299.57108993898845
-248.6900000000012,299.57105186800186
-248.6800000000012,299.571013791955
-248.6700000000012,299.57097571084705
-248.66000000000122,299.57093762467713
-248.65000000000123,299.5708995334443
-248.64000000000124,299.5708614371476
-248.63000000000125,299.5708233357862
-248.62000000000126,299.57078522935916
-248.61000000000126,299.5707471178657
-248.60000000000127,299.5707090013048
-248.59000000000128,299.5706708796756
-248.5800000000013,299.5706327529773
-248.5700000000013,299.57059462120884
-248.5600000000013,299.57055648436943
-248.55000000000132,299.57051834245806
-248.54000000000133,299.5704801954741
-248.53000000000134,299.5704420434162
-248.52000000000135,299.57040388628394
-248.51000000000136,299.57036572407617
-248.50000000000136,299.57032755679194
-248.49000000000137,299.5702893844305
-248.48000000000138,299.57025120699086
-248.4700000000014,299.57021302447214
-248.4600000000014,299.5701748368735
-248.4500000000014,299.570136644194
-248.44000000000142,299.5700984464327
-248.43000000000143,299.5700602435887
-248.42000000000144,299.57002203566117
-248.41000000000145,299.56998382264914
-248.40000000000146,299.56994560455183
-248.39000000000146,299.5699073813682
-248.38000000000147,299.56986915309733
-248.37000000000148,299.5698309197384
-248.3600000000015,299.5697926812906
-248.3500000000015,299.56975443775286
-248.3400000000015,299.56971618912434
-248.33000000000152,299.5696779354041
-248.32000000000153,299.5696396765913
-248.31000000000154,299.569601412685
-248.30000000000155,299.5695631436844
-248.29000000000156,299.5695248695884
-248.28000000000156,299.56948659039625
-248.27000000000157,299.56944830610706
-248.26000000000158,299.56941001671976
-248.2500000000016,299.56937172223365
