tau_m,root_1,root_2,root_3,root_4,root_5,root_6
4.799999999999999,10.000000003126456,-10.000000003126456,,,,
4.8999999999999995,9.999999998425883,-9.999999998425883,,,,
4.999999999999999,9.999999975961945,-9.999999975961941,,,,
5.1,10.000000154173245,-10.000000154173243,,,,
5.199999999999999,9.999999372683892,-9.999999372683892,,,,
5.299999999999999,10.00000190616365,-10.00000190616365,,,,
5.3999999999999995,9.999995624371438,-9.999995624371437,,,,
5.499999999999999,9.999966340539704,-9.999966340539702,,,,
5.599999999999999,9.99991981465832,-9.999919814658321,,,,
5.699999999999999,9.999852311081264,-9.999852311081264,,,,
5.799999999999999,9.999758999088233,-9.999758999088233,,,,
5.8999999999999995,9.999636541905982,-9.999636541905982,,,,
5.999999999999999,9.999484093200659,-9.999484093200657,,,,
6.099999999999999,9.99930322375872,-9.99930322375872,,,,
6.199999999999999,9.999083250216938,-9.999083250216938,,,,
6.299999999999999,9.998818580416149,-9.998818580416149,,,,
6.3999999999999995,9.998514929719143,-9.998514929719141,,,,
6.499999999999999,9.998162030622995,-9.998162030622995,,,,
6.599999999999999,9.997747712191268,-9.997747712191268,,,,
6.699999999999999,9.997266371309808,-9.997266371309808,,,,
6.799999999999999,9.996726429143715,-9.996726429143715,,,,
6.8999999999999995,9.996120974987955,-9.996120974987955,,,,
6.999999999999999,9.995425654201567,-9.995425654201567,,,,
7.099999999999999,9.994636636940218,-9.994636636940218,,,,
7.199999999999999,9.993757600870044,-9.993757600870042,,,,
7.299999999999999,9.992790268894725,-9.992790268894726,,,,
7.3999999999999995,9.991717346446414,-9.991717346446412,,,,
7.499999999999999,9.990514643828222,-9.990514643828222,,,,
7.599999999999999,9.989181144343858,-9.989181144343858,,,,
7.699999999999999,9.987722004229676,-9.987722004229676,,,,
7.799999999999999,9.986140736360975,-9.986140736360975,,,,
7.899999999999999,9.98442254971699,-9.984422549716992,,,,
7.999999999999999,9.98253745100392,-9.982537451003918,,,,
8.1,9.980469434311294,-9.980469434311292,,,,
8.2,9.97821575327216,-9.97821575327216,,,,
8.299999999999999,9.975800100577333,-9.975800100577334,,,,
8.399999999999999,9.973237444047422,-9.97323744404742,,,,
8.499999999999998,9.970486489431345,-9.970486489431345,,,,
8.6,9.967507475327153,-9.967507475327151,,,,
8.7,9.96428783646811,-9.964287836468108,,,,
8.799999999999999,9.960830965662561,-9.96083096566256,,,,
8.899999999999999,9.957162092189678,-9.957162092189678,,,,
8.999999999999998,9.953289641006576,-9.953289641006574,,,,
9.1,9.949188499542243,-9.949188499542242,,,,
9.2,9.944834473209253,-9.944834473209255,,,,
9.299999999999999,9.940208989562715,-9.940208989562715,,,,
9.399999999999999,9.93529407441975,-9.93529407441975,,,,
9.499999999999998,9.930069619654535,-9.930069619654532,,,,
9.6,9.924536075095313,-9.924536075095311,,,,
9.7,9.918739669834679,-9.918739669834679,,,,
9.799999999999999,9.912707380864417,-9.912707380864415,,,,
9.899999999999999,9.906392365406871,-9.906392365406875,,,,
9.999999999999998,9.899745193456923,-9.899745193456923,,,,
10.1,9.892754434267266,-9.892754434267266,,,,
10.2,9.885418198354653,-9.885418198354653,,,,
10.299999999999999,9.877721615158755,-9.877721615158755,,,,
10.399999999999999,9.869647403630276,-9.869647403630276,,,,
10.499999999999998,9.861212102052264,-9.861212102052264,,,,
10.6,9.852454989948189,-9.852454989948187,,,,
10.7,9.84338185066453,-9.84338185066453,,,,
10.799999999999999,9.83395711643882,-9.833957116438821,,,,
10.899999999999999,9.824149730027862,-9.824149730027862,,,,
10.999999999999998,9.813942016898867,-9.813942016898869,,,,
11.099999999999998,9.803320632696554,-9.803320632696552,,,,
11.2,9.792279408092,-9.792279408092,,,,
11.299999999999999,9.78081462145568,-9.78081462145568,,,,
11.399999999999999,9.768918804152399,-9.768918804152399,,,,
11.499999999999998,9.756582351928659,-9.756582351928659,,,,
11.599999999999998,9.743812267811668,-9.743812267811668,,,,
11.7,9.730640504028297,-9.730640504028297,,,,
11.799999999999999,9.717085236913,-9.717085236913,,,,
11.899999999999999,9.703107647111198,-9.703107647111198,,,,
11.999999999999998,9.688660144713978,-9.68866014471398,,,,
12.099999999999998,9.673727162454947,-9.673727162454945,,,,
12.2,9.658312185070175,-9.658312185070175,,,,
12.299999999999999,9.642414403448896,-9.642414403448898,,,,
12.399999999999999,9.626026253717194,-9.626026253717194,,,,
12.499999999999998,9.609139765467543,-9.609139765467543,,,,
12.599999999999998,9.591746512944962,-9.591746512944962,,,,
12.7,9.573838941419707,-9.573838941419705,,,,
12.799999999999999,9.555419619499151,-9.55541961949915,,,,
12.899999999999999,9.536497762651264,-9.536497762651265,,,,
12.999999999999998,9.517072185921561,-9.517072185921561,,,,
13.099999999999998,9.49712349174462,-9.497123491744617,,,,
13.2,9.47663316756023,-9.476633167560232,,,,
13.299999999999999,9.455595077094104,-9.455595077094106,,,,
13.399999999999999,9.434006693672943,-9.434006693672941,,,,
13.499999999999998,9.411862745622866,-9.411862745622864,,,,
13.599999999999998,9.389155645027744,-9.389155645027747,,,,
13.7,9.3658781491603,-9.365878149160302,,,,
13.799999999999999,9.34202401035511,-9.34202401035511,,,,
13.899999999999999,9.317586634111372,-9.317586634111372,,,,
13.999999999999998,9.292557543378237,-9.292557543378237,,,,
14.099999999999998,9.266926376965154,-9.266926376965156,,,,
14.2,9.240662910847885,-9.240662910847883,,,,
14.299999999999999,9.21371846118677,-9.213718461186767,,,,
14.399999999999999,9.186071741828604,-9.18607174182861,,,,
14.499999999999998,9.157764409079375,-9.157764409079377,,,,
14.599999999999998,9.128837930446931,-9.128837930446931,,,,
14.7,9.099287318995142,-9.099287318995144,,,,
14.799999999999999,9.06909233946655,-9.069092339466547,,,,
14.899999999999999,9.038243820018518,-9.038243820018518,,,,
14.999999999999998,9.006740634308883,-9.006740634308883,,,,
15.099999999999998,8.974575449115743,-8.974575449115742,,,,
15.199999999999998,8.941731364549495,-8.941731364549495,,,,
15.299999999999999,8.908198531404288,-8.908198531404288,,,,
15.399999999999999,8.873993004385895,-8.873993004385893,,,,
15.499999999999998,8.839119311111519,-8.83911931111152,,,,
15.599999999999998,8.80348283243059,-8.80348283243059,,,,
15.699999999999998,8.76695464034988,-8.76695464034988,,,,
15.799999999999999,8.72948323779765,-8.729483237797648,,,,
15.899999999999999,8.691071125924168,-8.691071125924166,,,,
